"JW.B",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"JNJ",127.26,127.00,126.70,N/A,N/A,130.28,342.82B
"JCI",42.64,42.60,42.78,N/A,N/A,48.87,40.00B
"JONE",2.35,2.40,2.40,N/A,N/A,5.00,154.01M
"JLL",113.46,112.10,112.74,N/A,N/A,129.71,5.14B
"JFC",19.73,19.82,19.76,N/A,N/A,N/A,N/A
"JMEI",3.15,3.17,3.19,N/A,N/A,12.50,471.70M
"JNPR",29.63,29.53,29.47,N/A,N/A,30.77,11.32B
"JP",8.09,8.14,8.08,N/A,N/A,14.88,241.89M
"JE",5.24,5.36,5.35,N/A,N/A,7.31,777.75M
"JE^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"LRN",19.34,19.47,19.51,N/A,N/A,22.67,739.76M
"KAI",70.70,70.25,70.25,N/A,N/A,74.25,777.70M
"KDMN",2.65,2.39,2.50,N/A,N/A,10.54,137.39M
"KAMN",48.24,47.80,47.85,N/A,N/A,51.00,1.31B
"KSU",90.63,90.27,90.52,N/A,N/A,96.47,9.61B
"KSU^",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"KS",20.32,20.22,20.34,N/A,N/A,24.61,1.97B
"KAR",43.78,42.93,42.98,N/A,N/A,50.59,6.00B
"KATE",18.43,18.43,18.42,N/A,N/A,20.29,2.37B
"KED",18.87,18.55,18.76,N/A,N/A,23.00,N/A
"KYE",11.73,11.56,11.66,N/A,N/A,21.00,N/A
"KMF",15.82,15.58,15.77,N/A,N/A,32.00,N/A
"KYN",19.28,19.28,19.38,N/A,N/A,33.00,N/A
"KYN^F",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"KB",47.38,47.07,47.35,N/A,N/A,57.00,18.87B
"KBH",21.46,21.44,21.50,N/A,N/A,18.86,1.83B
"KBR",14.77,14.75,14.86,N/A,N/A,18.60,2.11B
"KAP",25.5001,25.5414,25.5199,N/A,N/A,N/A,N/A
"KCG",19.89,19.84,19.87,N/A,N/A,3.26,1.25B
"FRAC",16.34,16.06,16.29,N/A,N/A,20.88,1.69B
"K",71.31,71.03,70.60,N/A,N/A,77.50,24.98B
"KEM",13.00,13.25,13.36,N/A,N/A,14.50,606.94M
"KMPA",26.78,26.78,N/A,N/A,N/A,N/A,N/A
"KMPR",38.50,37.55,37.65,N/A,N/A,42.50,1.97B
"KMT",38.72,38.35,38.63,N/A,N/A,44.54,3.12B
"KW",20.45,20.45,20.25,N/A,N/A,31.50,2.34B
"KWN",25.59,25.59,N/A,N/A,N/A,N/A,2.92B
"KEN",12.065,12.065,N/A,N/A,N/A,50.000,648.12M
"KEG",20.75,20.59,20.80,N/A,N/A,25.38,416.99M
"KEY",17.71,17.73,17.83,N/A,N/A,20.54,19.41B
"KEY^I",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"KEYS",37.64,37.49,37.60,N/A,N/A,42.00,6.46B
"KRC",72.75,71.58,71.79,N/A,N/A,79.38,7.08B
"KRC^H",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"KRP",19.16,19.37,19.35,N/A,N/A,22.60,312.92M
"KMB",127.08,127.20,127.22,N/A,N/A,134.33,45.10B
"KIM",18.20,18.55,18.52,N/A,N/A,25.26,7.75B
