"GSVC",4.53,4.55,4.54,N/A,N/A,8.05,N/A
"GTXI",3.37,3.37,3.36,N/A,N/A,7.00,54.06M
"GTYH",9.95,9.94,9.94,N/A,N/A,N/A,160.10M
"GTYHU",10.32,10.32,10.37,N/A,N/A,N/A,569.66M
"GTYHW",1.20,1.10,1.20,N/A,N/A,N/A,N/A
"GBNK",25.45,25.55,25.55,N/A,N/A,27.00,710.18M
"GNTY",31.03,31.02,31.00,N/A,N/A,N/A,269.99M
"GFED",19.0971,19.9500,20.0500,N/A,N/A,23.0000,84.43M
"GUID",6.41,6.41,6.40,N/A,N/A,8.92,193.86M
"GIFI",9.05,9.05,9.00,N/A,N/A,10.00,134.39M
"GURE",1.83,1.87,1.85,N/A,N/A,14.50,85.63M
"GPOR",15.20,15.10,15.12,N/A,N/A,26.42,2.78B
"GWPH",106.13,108.02,107.97,N/A,N/A,154.00,2.69B
"GWGH",10.05,10.05,10.05,N/A,N/A,14.50,58.08M
"GYRO",20.79,20.75,20.75,N/A,N/A,N/A,30.81M
"HEES",20.18,20.00,19.91,N/A,N/A,22.88,709.83M
"HLG",7.62,7.62,N/A,N/A,N/A,N/A,195.83M
"HNRG",7.61,7.58,7.63,N/A,N/A,11.00,224.48M
"HALL",10.71,10.56,10.65,N/A,N/A,10.00,197.61M
"HALO",12.41,12.60,12.52,N/A,N/A,16.77,1.60B
"HBK",14.80,14.88,14.80,N/A,N/A,N/A,47.00M
"HLNE",20.45,20.75,21.15,N/A,N/A,N/A,349.10M
"HBHC",46.90,47.50,47.35,N/A,N/A,52.45,3.96B
"HBHCL",26.43,26.36,26.45,N/A,N/A,N/A,158.58M
"HNH",27.85,27.80,28.00,N/A,N/A,N/A,340.35M
"HAFC",27.50,27.65,27.50,N/A,N/A,31.83,881.54M
"HQCL",7.09,7.18,7.11,N/A,N/A,7.00,589.71M
"HONE",20.12,19.99,19.53,N/A,N/A,21.00,623.86M
"HDNG",12.08,12.11,12.00,N/A,N/A,14.00,156.25M
"HLIT",5.25,5.25,5.20,N/A,N/A,6.00,422.79M
"HRMN",10.28,10.20,10.22,N/A,N/A,N/A,46.95M
"HRMNU",10.01,10.01,N/A,N/A,N/A,N/A,N/A
"HRMNW",0.30,0.30,0.30,N/A,N/A,N/A,N/A
"HBIO",2.35,2.30,2.30,N/A,N/A,5.50,81.27M
"HCAP",13.04,12.99,13.08,N/A,N/A,14.75,N/A
"HCAPL",25.75,25.75,N/A,N/A,N/A,N/A,25.75M
"HAS",104.21,104.17,104.39,N/A,N/A,105.89,13.03B
"HA",49.75,50.75,50.80,N/A,N/A,59.40,2.67B
"HCOM",24.61,24.60,24.84,N/A,N/A,32.50,285.16M
"HWKN",47.00,47.45,47.25,N/A,N/A,40.00,499.70M
