"MS^G",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MS^I",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MS^K",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"APF",16.38,16.35,16.32,N/A,N/A,N/A,N/A
"CAF",20.89,20.93,20.99,N/A,N/A,N/A,N/A
"MSD",10.02,10.04,10.03,N/A,N/A,N/A,N/A
"EDD",8.11,8.10,8.11,N/A,N/A,N/A,N/A
"MSF",16.33,16.25,16.23,N/A,N/A,N/A,N/A
"IIF",32.89,32.35,32.83,N/A,N/A,N/A,N/A
"MOS",23.16,22.90,22.84,N/A,N/A,26.50,8.13B
"MSI",81.86,82.27,82.28,N/A,N/A,89.38,13.38B
"MOV",21.40,22.15,22.15,N/A,N/A,26.50,494.45M
"MPLX",34.05,34.80,34.82,N/A,N/A,43.26,12.76B
"MRC",19.67,19.77,19.84,N/A,N/A,23.55,1.86B
"ICB",18.20,18.15,18.15,N/A,N/A,N/A,N/A
"HJV",15.50,15.50,15.50,N/A,N/A,N/A,33.79M
"MSA",79.38,79.32,79.32,N/A,N/A,82.40,3.01B
"MSM",85.48,84.97,84.96,N/A,N/A,98.20,4.87B
"MSCI",100.51,100.93,100.63,N/A,N/A,100.83,9.09B
"MSG",195.67,194.54,196.25,N/A,N/A,221.50,4.61B
"MSGN",21.45,21.25,21.30,N/A,N/A,25.05,1.61B
"MLI",28.67,28.56,28.59,N/A,N/A,34.00,1.65B
"MWA",11.16,11.12,11.10,N/A,N/A,14.00,1.78B
"MULE",28.38,27.60,27.75,N/A,N/A,26.29,3.65B
"MPSX",18.00,18.00,17.99,N/A,N/A,17.57,1.40B
"MUR",25.31,25.15,25.20,N/A,N/A,31.42,4.37B
"MUSA",68.37,68.56,68.69,N/A,N/A,73.83,2.51B
"MVO",6.18,6.15,6.11,N/A,N/A,43.00,71.07M
"MVC",8.74,8.80,8.77,N/A,N/A,15.50,N/A
"MVCB",25.6199,25.6700,25.6500,N/A,N/A,N/A,N/A
"MYE",16.70,17.00,16.95,N/A,N/A,16.50,502.32M
"MYOV",13.30,13.00,12.99,N/A,N/A,19.50,801.39M
"NBR",8.75,8.93,8.92,N/A,N/A,16.77,2.50B
"NC",65.70,65.65,65.38,N/A,N/A,128.00,448.93M
"NTP",8.00,7.90,7.95,N/A,N/A,13.00,291.72M
"NTEST",29.90,29.90,29.91,N/A,N/A,N/A,N/A
"NTEST.A",N/A,N/A,N/A,N/A,N/A,N/A,N/A
