"RLH","Red Lions Hotels Corporation",N/A,N/A
"RWT","Redwood Trust, Inc.",N/A,N/A
"RBC","Regal Beloit Corporation",N/A,N/A
"RGC","Regal Entertainment Group Class",N/A,N/A
"REG","Regency Centers Corporation",N/A,N/A
"REG^G",N/A,N/A,N/A
"RM","Regional Management Corp.",N/A,N/A
"RF","Regions Financial Corporation",N/A,N/A
"RF^A",N/A,N/A,N/A
"RF^B",N/A,N/A,N/A
"RGS","Regis Corporation",N/A,N/A
"RGA","Reinsurance Group of America, I",N/A,N/A
"RZA","Reinsurance Group of America, I",N/A,N/A
"RZB","Reinsurance Group of America, I",N/A,N/A
"RS","Reliance Steel & Aluminum Co.  ",N/A,N/A
"RENX","RELX N.V. American Depositary S",N/A,N/A
"RELX","RELX PLC PLC American Depositar",N/A,N/A
"RNR","RenaissanceRe Holdings Ltd.",N/A,N/A
"RNR^C",N/A,N/A,N/A
"RNR^E",N/A,N/A,N/A
"SOL","Renesola Ltd. American Depsitar",N/A,N/A
"RENN","Renren Inc. American Depositary",N/A,N/A
"RSG","Republic Services, Inc.",N/A,N/A
"RMD","ResMed Inc.",N/A,N/A
"REN","Resolute Energy Corporation Com",N/A,N/A
"RFP","Resolute Forest Products Inc.",N/A,N/A
"RSO","Resource Capital Corp. Resource",N/A,N/A
"RSO^A",N/A,N/A,N/A
"RSO^B",N/A,N/A,N/A
"RSO^C",N/A,N/A,N/A
"QSR","Restaurant Brands International",N/A,N/A
"RPAI","Retail Properties of America, I",N/A,N/A
"RPAI^A",N/A,N/A,N/A
"REVG","REV Group, Inc.",N/A,N/A
"REV","Revlon, Inc. New",N/A,N/A
"REX","REX American Resources Corporat",N/A,N/A
"REXR","Rexford Industrial Realty, Inc.",N/A,N/A
"REXR^A",N/A,N/A,N/A
"RXN","Rexnord Corporation",N/A,N/A
"RXN^A",N/A,N/A,N/A
"RAI","Reynolds American Inc",N/A,N/A
"RH","RH",N/A,N/A
"RICE","Rice Energy Inc.",N/A,N/A
"RMP","Rice Midstream Partners LP Comm",N/A,N/A
"RIC","Richmont Mines, Inc.",N/A,N/A
"RNG","Ringcentral, Inc. Class A",N/A,N/A
"RIO","Rio Tinto Plc",N/A,N/A
"RBA","Ritchie Bros. Auctioneers Incor",N/A,N/A
"RAD","Rite Aid Corporation",N/A,N/A
"RIV","RiverNorth Opportunities Fund, ",N/A,N/A
"OPP","RiverNorth/DoubleLine Strategic",N/A,N/A
"RLI","RLI Corp.",N/A,N/A
"RLJ","RLJ Lodging Trust  of Beneficia",N/A,N/A
"RRTS","Roadrunner Transportation Syste",N/A,N/A
"RHI","Robert Half International Inc.",N/A,N/A
"ROK","Rockwell Automation, Inc.",N/A,N/A
"COL","Rockwell Collins, Inc.",N/A,N/A
"RCI","Rogers Communication, Inc.",N/A,N/A
"ROG","Rogers Corporation",N/A,N/A
"ROL","Rollins, Inc.",N/A,N/A
"ROP","Roper Technologies, Inc.",N/A,N/A
"RST","Rosetta Stone Rosetta Stone, In",N/A,N/A
"RDC","Rowan Companies plc Class A Ord",N/A,N/A
"RY","Royal Bank Of Canada",N/A,N/A
"RY^S",N/A,N/A,N/A
"RY^T",N/A,N/A,N/A
"RBS","Royal Bank of Scotland Group Pl",N/A,N/A
"RBS^F",N/A,N/A,N/A
"RBS^H",N/A,N/A,N/A
"RBS^L",N/A,N/A,N/A
"RBS^S",N/A,N/A,N/A
"RCL","Royal Caribbean Cruises Ltd.",N/A,N/A
"RDS.A",N/A,N/A,N/A
"RDS.B",N/A,N/A,N/A
"RGT","Royce Global Value Trust, Inc.",N/A,N/A
"RMT","Royce Micro-Cap Trust, Inc.",N/A,N/A
"RVT","Royce Value Trust, Inc.",N/A,N/A
"RES","RPC, Inc.",N/A,N/A
"RPM","RPM International Inc.",N/A,N/A
"RSPP","RSP Permian, Inc.",N/A,N/A
"RT","Ruby Tuesday, Inc.",N/A,N/A
"RTEC","Rudolph Technologies, Inc.",N/A,N/A
"R","Ryder System, Inc.",N/A,N/A
"RYI","Ryerson Holding Corporation",N/A,N/A
"RHP","Ryman Hospitality Properties, I",N/A,N/A
"SPGI","S&P Global Inc.",N/A,N/A
"SBR","Sabine Royalty Trust",N/A,N/A
"SB","Safe Bulkers, Inc  ($0.001 par ",N/A,N/A
"SB^B",N/A,N/A,N/A
"SB^C",N/A,N/A,N/A
"SB^D",N/A,N/A,N/A
"SFE","Safeguard Scientifics, Inc. New",N/A,N/A
"CRM","Salesforce.com Inc",N/A,N/A
"SMM","Salient Midstream  of Beneficia",N/A,N/A
"SBH","Sally Beauty Holdings, Inc. (Na",N/A,N/A
"SJT","San Juan Basin Royalty Trust",N/A,N/A
"SN","Sanchez Energy Corporation",N/A,N/A
"SD","SandRidge Energy, Inc.",N/A,N/A
"SDT","SandRidge Mississippian Trust I",N/A,N/A
"SDR","SandRidge Mississippian Trust I",N/A,N/A
"PER","SandRidge Permian Trust Common ",N/A,N/A
"SNY","Sanofi American Depositary Shar",N/A,N/A
"SC","Santander Consumer USA Holdings",N/A,N/A
"SOV^C",N/A,N/A,N/A
"SAP","SAP  SE ADS",N/A,N/A
"SAB","Saratoga Investment Corp 6.75% ",N/A,N/A
"SAR","Saratoga Investment Corp New",N/A,N/A
"SSL","Sasol Ltd. American Depositary ",N/A,N/A
"BFS","Saul Centers, Inc.",N/A,N/A
"BFS^C",N/A,N/A,N/A
"SCG","SCANA Corporation",N/A,N/A
"SLB","Schlumberger N.V.",N/A,N/A
"SNDR","Schneider National, Inc.",N/A,N/A
"SWM","Schweitzer-Mauduit Internationa",N/A,N/A
"SAIC","SCIENCE APPLICATIONS INTERNATIO",N/A,N/A
"SALT","Scorpio Bulkers Inc.",N/A,N/A
"SLTB","Scorpio Bulkers Inc. 7.50% Seni",N/A,N/A
"SBBC","Scorpio Tankers Inc. 8.25% Seni",N/A,N/A
"SBNA","Scorpio Tankers Inc. 6.75% Seni",N/A,N/A
"SBNB","Scorpio Tankers Inc. 7.50% Seni",N/A,N/A
"STNG","Scorpio Tankers Inc.",N/A,N/A
"SMG","Scotts Miracle-Gro Company (The",N/A,N/A
"LBF","Deutsche Global High Income Fun",N/A,N/A
"KMM","Deutsche  Multi-Market Income T",N/A,N/A
"KTF","Deutsche Municiple Income Trust",N/A,N/A
"KST","Deutsche Strategic Income Trust",N/A,N/A
"KSM","Deutsche Strategic Municiple In",N/A,N/A
"SA","Seabridge Gold, Inc. Ordinary S",N/A,N/A
"CKH","SEACOR Holdings Inc.",N/A,N/A
"SDRL","Seadrill Limited Ordinary Share",N/A,N/A
"SDLP","Seadrill Partners LLC Common Un",N/A,N/A
"SEE","Sealed Air Corporation",N/A,N/A
"SSW","Seaspan Corporation Seaspan Cor",N/A,N/A
"SSW^D",N/A,N/A,N/A
"SSW^E",N/A,N/A,N/A
"SSW^G",N/A,N/A,N/A
"SSW^H",N/A,N/A,N/A
"SSWN","Seaspan Corporation 6.375% Note",N/A,N/A
"SEAS","SeaWorld Entertainment, Inc.",N/A,N/A
"JBN","Select Asset Inc. Select Asset ",N/A,N/A
"JBR","Select Asset Inc. Corporate Bac",N/A,N/A
"WTTR","Select Energy Services, Inc. Cl",N/A,N/A
"SEM","Select Medical Holdings Corpora",N/A,N/A
"SGZA","Selective Insurance Group, Inc.",N/A,N/A
"SEMG","Semgroup Corporation Class A",N/A,N/A
"SMI","Semiconductor  Manufacturing In",N/A,N/A
"SRE","Sempra Energy",N/A,N/A
"ST","Sensata Technologies Holding N.",N/A,N/A
"SXT","Sensient Technologies Corporati",N/A,N/A
"SQNS","Sequans Communications S.A. Ame",N/A,N/A
"SRG","Seritage Growth Properties Clas",N/A,N/A
"SCI","Service Corporation Internation",N/A,N/A
"SERV","ServiceMaster Global Holdings, ",N/A,N/A
"NOW","ServiceNow, Inc.",N/A,N/A
"SHAK","Shake Shack, Inc. Class A",N/A,N/A
"SJR","Shaw Communications Inc.",N/A,N/A
"SHLX","Shell Midstream Partners, L.P. ",N/A,N/A
"SHW","Sherwin-Williams Company (The)",N/A,N/A
"SHG","Shinhan Financial Group Co Ltd ",N/A,N/A
"SFL","Ship Finance International Limi",N/A,N/A
"SHOP","Shopify Inc. Class A Subordinat",N/A,N/A
"SSTK","Shutterstock, Inc.",N/A,N/A
"SBGL","Sibanye Gold Limited American D",N/A,N/A
"SIG","Signet Jewelers Limited",N/A,N/A
"SSNI","Silver Spring Networks, Inc.",N/A,N/A
"SBOW","SilverBow Resorces, Inc.",N/A,N/A
"SPG","Simon Property Group, Inc.",N/A,N/A
"SPG^J",N/A,N/A,N/A
"SSD","Simpson Manufacturing Company, ",N/A,N/A
"SHI","SINOPEC Shangai Petrochemical C",N/A,N/A
"SITE","SiteOne Landscape Supply, Inc.",N/A,N/A
"SIX","Six Flags Entertainment Corpora",N/A,N/A
"SJW","SJW Group  (DE)",N/A,N/A
"SKM","SK Telecom Co., Ltd.",N/A,N/A
"SKX","Skechers U.S.A., Inc.",N/A,N/A
"SLG","SL Green Realty Corporation",N/A,N/A
"SLG^I",N/A,N/A,N/A
"SM","SM Energy Company",N/A,N/A
"SFS","Smart & Final Stores, Inc.",N/A,N/A
"SNN","Smith & Nephew SNATS, Inc.",N/A,N/A
"AOS","A.O. Smith Corporation",N/A,N/A
"SNAP","Snap Inc.",N/A,N/A
"SNA","Snap-On Incorporated",N/A,N/A
"SQM","Sociedad Quimica y Minera S.A.",N/A,N/A
"SLRA","Solar Capital Ltd. 6.75% Senior",N/A,N/A
"SOI","Solaris Oilfield Infrastructure",N/A,N/A
"SAH","Sonic Automotive, Inc.",N/A,N/A
"SON","Sonoco Products Company",N/A,N/A
"SNE","Sony Corporation",N/A,N/A
"BID","Sotheby's",N/A,N/A
"SOR","Source Capital, Inc.",N/A,N/A
"SJI","South Jersey Industries, Inc.",N/A,N/A
"SXE","Southcross Energy Partners, L.P",N/A,N/A
"SCE^F",N/A,N/A,N/A
"SCE^G",N/A,N/A,N/A
"SCE^H",N/A,N/A,N/A
"SCE^J",N/A,N/A,N/A
