"HSON",1.42,1.42,1.42,N/A,N/A,5.00,44.77M
"HDSN",8.24,8.10,8.17,N/A,N/A,9.33,342.28M
"HUNT",9.80,9.90,9.90,N/A,N/A,N/A,185.87M
"HUNTU",10.05,10.05,N/A,N/A,N/A,N/A,150.75M
"HUNTW",0.612,0.650,0.612,N/A,N/A,N/A,N/A
"HBAN",12.64,12.57,12.62,N/A,N/A,14.65,13.74B
"HBANN",25.75,25.61,25.67,N/A,N/A,N/A,103.00M
"HBANO",27.49,27.28,27.45,N/A,N/A,N/A,29.88B
"HBANP",1397.05,1447.95,1401.00,N/A,N/A,N/A,11.30B
"HURC",28.95,28.30,28.35,N/A,N/A,38.00,191.13M
"HURN",41.20,40.70,40.70,N/A,N/A,50.00,875.05M
"HCM",20.15,20.22,20.22,N/A,N/A,24.13,2.44B
"HBP",6.81,7.21,7.22,N/A,N/A,6.00,176.24M
"HVBC",14.2501,14.2501,N/A,N/A,N/A,N/A,31.09M
"HYGS",7.25,7.15,7.10,N/A,N/A,9.50,90.97M
"IDSY",6.24,6.20,6.26,N/A,N/A,7.70,82.74M
"IAC",103.25,103.19,103.14,N/A,N/A,114.16,8.12B
"IBKC",79.25,78.50,78.60,N/A,N/A,91.81,4.04B
"IBKCO",27.51,27.51,27.73,N/A,N/A,N/A,1.40B
"IBKCP",27.698,27.690,27.950,N/A,N/A,N/A,1.41B
"ICAD",4.79,4.57,4.51,N/A,N/A,7.00,78.43M
"IEP",49.73,49.11,49.45,N/A,N/A,50.00,7.97B
"ICCH",17.36,17.45,17.36,N/A,N/A,N/A,60.76M
"ICFI",46.75,47.40,47.50,N/A,N/A,60.50,878.85M
"ICHR",22.39,20.35,20.85,N/A,N/A,24.40,555.41M
"ICLR",89.44,90.03,89.94,N/A,N/A,90.09,4.81B
"ICON",6.32,6.46,6.45,N/A,N/A,11.00,360.63M
"ICUI",162.10,163.15,163.55,N/A,N/A,173.75,3.21B
"IPWR",2.42,2.33,2.35,N/A,N/A,4.50,33.87M
"INVE",5.52,5.72,5.35,N/A,N/A,8.50,61.42M
"IDRA",1.72,1.72,1.71,N/A,N/A,5.75,256.53M
"IDXX",162.97,161.63,161.13,N/A,N/A,152.00,14.36B
"IESC",15.55,15.70,15.75,N/A,N/A,6.50,331.20M
"IROQ",19.765,19.800,19.800,N/A,N/A,N/A,72.40M
"IFMK",13.73,13.08,13.08,N/A,N/A,N/A,196.38M
"RXDX",6.80,6.90,7.00,N/A,N/A,18.75,284.48M
"INFO",44.70,44.30,44.43,N/A,N/A,44.19,18.16B
"IIVI",31.90,30.40,30.55,N/A,N/A,37.92,2.01B
"KANG",14.82,14.81,14.81,N/A,N/A,21.93,956.63M
"IKNX",8.00,8.08,8.14,N/A,N/A,N/A,15.95M
"ILG",26.95,26.73,26.85,N/A,N/A,27.60,3.36B
"ILMN",174.92,177.01,176.36,N/A,N/A,177.80,25.54B
"ISNS",3.50,3.49,3.50,N/A,N/A,4.00,17.83M
"IMMR",7.99,8.00,8.01,N/A,N/A,11.21,233.04M
"ICCC",6.02,6.01,6.00,N/A,N/A,N/A,29.18M
"IMDZ",7.65,7.30,7.35,N/A,N/A,18.50,195.62M
