"COR",102.95,103.76,104.17,N/A,N/A,102.33,3.45B
"COR^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GLW",29.30,29.42,29.38,N/A,N/A,29.03,26.96B
"GYC",23.3353,23.3640,23.1200,N/A,N/A,N/A,N/A
"OFC",33.71,34.21,34.24,N/A,N/A,34.18,3.32B
"OFC^L.CL",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CZZ",7.28,7.10,7.14,N/A,N/A,10.79,1.93B
"CMRE",7.05,7.00,7.02,N/A,N/A,7.88,645.70M
"CMRE^B",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CMRE^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CMRE^D",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"COTV",38.43,39.39,39.37,N/A,N/A,43.70,3.53B
"COT",13.49,13.46,13.44,N/A,N/A,15.55,1.87B
"COTY",19.06,18.60,18.79,N/A,N/A,21.21,14.25B
"CFC^B",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CUZ",8.53,8.60,8.62,N/A,N/A,9.29,3.57B
"CVA",14.65,14.65,14.65,N/A,N/A,16.43,1.89B
"CPF",30.63,30.89,30.85,N/A,N/A,34.13,938.35M
"CPL",16.04,15.85,15.97,N/A,N/A,13.20,8.16B
"CR",77.12,76.62,76.71,N/A,N/A,82.56,4.59B
"CRD.A",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CRD.B",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BAP",169.00,169.87,169.21,N/A,N/A,187.36,13.43B
"CS",14.48,14.33,14.52,N/A,N/A,17.85,30.17B
"CPG",9.10,9.07,9.12,N/A,N/A,13.34,4.96B
"CEQP",24.25,24.30,24.25,N/A,N/A,25.60,1.69B
"CRH",35.71,35.98,35.77,N/A,N/A,24.01,29.73B
"CRT",15.69,15.50,15.43,N/A,N/A,N/A,94.14M
"CAPL",23.75,23.93,23.88,N/A,N/A,28.78,800.99M
"CCI",102.81,102.78,102.87,N/A,N/A,105.42,37.64B
"CCK",57.05,57.13,56.95,N/A,N/A,60.83,7.90B
"CRY",18.25,18.40,18.20,N/A,N/A,23.00,607.00M
"CSRA",30.46,31.01,30.84,N/A,N/A,35.40,4.97B
"CSS",26.06,25.98,26.02,N/A,N/A,19.00,236.78M
"CST",48.38,48.38,48.37,N/A,N/A,48.62,3.67B
"CTS",20.85,20.80,20.80,N/A,N/A,23.00,684.94M
"CUBE",25.06,25.31,25.30,N/A,N/A,28.56,4.52B
"CUB",46.70,46.75,46.75,N/A,N/A,54.80,1.27B
"CFR",92.38,93.35,93.21,N/A,N/A,98.13,5.91B
"CFR^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CFI",31.95,31.65,31.60,N/A,N/A,38.00,393.43M
"CMI",156.64,155.86,155.80,N/A,N/A,163.95,26.21B
"CW",89.33,89.27,88.94,N/A,N/A,103.25,3.95B
"SRF",8.9323,8.9900,8.9509,N/A,N/A,10.0000,N/A
"SZC",17.88,17.86,17.98,N/A,N/A,N/A,N/A
"CUBI",29.02,29.15,29.03,N/A,N/A,40.17,889.06M
"CUBI^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CUBI^D",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CUBI^E",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CUBI^F",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CUBS",26.33,26.29,26.29,N/A,N/A,N/A,806.65M
"CVI",20.73,20.74,20.71,N/A,N/A,19.00,1.80B
"UAN",4.41,4.48,4.50,N/A,N/A,5.60,499.57M
"CVRR",10.00,9.80,9.85,N/A,N/A,10.38,1.48B
"CVS",76.64,75.95,76.00,N/A,N/A,86.77,78.08B
"CELP",7.17,7.16,7.16,N/A,N/A,8.33,85.17M
"CYS",8.40,8.38,8.39,N/A,N/A,7.85,1.27B
"CYS^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CYS^B",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"DHI",33.11,33.22,33.17,N/A,N/A,35.74,12.44B
"CB",142.24,142.76,142.67,N/A,N/A,147.38,66.42B
"DAN",20.57,20.31,20.25,N/A,N/A,21.44,2.97B
"DHR",84.40,84.51,84.31,N/A,N/A,91.84,58.58B
"DAC",1.25,1.25,1.25,N/A,N/A,3.00,137.25M
"DQ",22.35,22.75,22.65,N/A,N/A,29.90,235.10M
"DRI",87.95,88.10,88.10,N/A,N/A,84.59,10.94B
"DAR",16.11,16.14,16.14,N/A,N/A,18.14,2.65B
"DVA",64.75,66.27,66.44,N/A,N/A,67.96,12.60B
"DCP",35.66,35.81,35.78,N/A,N/A,41.40,5.11B
"DCT",52.62,52.96,52.96,N/A,N/A,51.92,4.84B
"DDR",8.96,9.10,9.06,N/A,N/A,13.27,3.28B
"DDR^J",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"DDR^K",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"DF",18.45,18.44,18.50,N/A,N/A,21.00,1.68B
"DECK",67.21,56.57,65.40,N/A,N/A,58.44,2.15B
"DE",122.79,122.43,122.80,N/A,N/A,124.95,39.28B
"DEX",11.44,11.45,11.45,N/A,N/A,N/A,N/A
"DDF",10.35,10.40,10.40,N/A,N/A,N/A,N/A
"DKL",30.70,30.85,31.00,N/A,N/A,33.75,746.87M
"DK",25.42,25.33,25.43,N/A,N/A,26.20,1.58B
"DVMT",68.80,68.66,68.53,N/A,N/A,75.00,53.41B
"DLPH",87.50,86.63,86.87,N/A,N/A,98.10,23.44B
"DAL",50.80,50.40,50.31,N/A,N/A,0.40,36.98B
"DEL",69.93,69.86,69.80,N/A,N/A,68.00,852.03M
"DLX",68.10,67.92,67.87,N/A,N/A,79.00,3.30B
"DNR",1.75,1.73,1.75,N/A,N/A,2.81,681.44M
"DKT",27.03,26.95,26.96,N/A,N/A,N/A,N/A
"DB",18.46,18.85,18.56,N/A,N/A,13.13,25.38B
"DTK",26.07,25.99,26.06,N/A,N/A,N/A,N/A
"DXB",25.23,25.17,25.15,N/A,N/A,N/A,N/A
"DVN",35.82,35.73,35.61,N/A,N/A,51.94,18.83B
"DV",36.90,36.95,37.00,N/A,N/A,40.17,2.31B
"DHX",2.80,2.80,2.85,N/A,N/A,4.55,141.64M
"DHT",4.27,4.27,4.29,N/A,N/A,5.56,404.04M
"DEO",121.37,121.86,120.71,N/A,N/A,131.64,76.19B
"DO",12.15,12.29,12.33,N/A,N/A,16.21,1.67B
"DRH",11.20,11.20,11.17,N/A,N/A,11.33,2.24B
"DSX",3.97,3.91,3.90,N/A,N/A,4.70,320.59M
"DSX^B",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"DSXN",24.856,24.856,24.610,N/A,N/A,N/A,54.68M
