"PIH",7.4596,7.4500,7.6632,N/A,N/A,N/A,44.43M
"TURN",1.55,1.57,1.58,N/A,N/A,4.00,47.90M
"FLWS",10.20,10.35,10.35,N/A,N/A,13.30,666.42M
"FCCY",17.25,17.25,17.43,N/A,N/A,13.00,138.47M
"SRCE",46.35,46.70,46.46,N/A,N/A,48.50,1.20B
"VNET",5.33,5.60,5.46,N/A,N/A,6.92,602.87M
"TWOU",43.57,43.39,43.30,N/A,N/A,51.00,2.07B
"JOBS",43.59,43.41,43.38,N/A,N/A,38.37,2.67B
"CAFD",13.61,13.41,13.41,N/A,N/A,13.89,382.11M
"EGHT",13.50,13.15,14.15,N/A,N/A,17.90,1.23B
"AVHI",15.95,16.10,16.15,N/A,N/A,18.00,357.93M
"SHLM",29.10,29.25,29.20,N/A,N/A,33.00,855.34M
"AAON",36.55,36.45,36.30,N/A,N/A,37.50,1.92B
"ABAX",49.52,48.96,48.87,N/A,N/A,47.20,1.12B
"ABEO",5.55,5.70,5.75,N/A,N/A,17.60,223.42M
"ABEOW",3.48,3.48,N/A,N/A,N/A,N/A,N/A
"ABIL",0.6504,0.6081,0.6385,N/A,N/A,1.3000,16.44M
"ABMD",138.59,135.88,135.69,N/A,N/A,150.00,6.04B
"AXAS",1.93,1.92,1.95,N/A,N/A,3.00,313.35M
"ACIU",8.91,8.91,8.91,N/A,N/A,21.53,507.18M
"ACIA",47.97,46.33,45.92,N/A,N/A,58.07,1.85B
"ACTG",4.25,4.40,4.40,N/A,N/A,6.92,214.99M
"ACHC",42.14,42.52,42.45,N/A,N/A,51.53,3.70B
"ACAD",26.02,26.27,26.28,N/A,N/A,43.00,3.18B
"ACST",1.24,1.25,1.23,N/A,N/A,7.41,13.28M
"AXDX",28.25,28.70,28.55,N/A,N/A,31.67,1.47B
"ACCP",N/A,N/A,N/A,N/A,N/A,7.00,N/A
"ACCPW",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"XLRN",25.25,26.45,26.33,N/A,N/A,42.29,975.08M
"ANCX",28.36,28.25,28.22,N/A,N/A,30.60,575.88M
"ARAY",4.15,4.00,4.00,N/A,N/A,6.25,344.45M
"ACRX",2.55,2.55,2.55,N/A,N/A,7.60,115.72M
"ACET",14.68,14.74,14.76,N/A,N/A,18.67,441.87M
"AKAO",21.64,22.08,22.02,N/A,N/A,29.14,775.86M
"ACHN",4.21,4.15,4.13,N/A,N/A,6.75,575.60M
"ACIW",23.04,23.22,23.17,N/A,N/A,24.80,2.72B
"ACRS",24.81,25.21,25.21,N/A,N/A,41.20,663.25M
"ACNB",28.60,28.75,28.63,N/A,N/A,N/A,173.52M
"ACOR",14.25,14.55,14.50,N/A,N/A,26.38,666.30M
"SQZZ",24.90,24.90,N/A,N/A,N/A,N/A,N/A
"ATVI",58.28,59.22,59.16,N/A,N/A,58.65,43.92B
"ACTA",14.10,14.15,14.15,N/A,N/A,16.67,448.54M
"ACXM",25.91,26.06,25.95,N/A,N/A,33.40,2.02B
"ADMS",15.65,15.55,15.58,N/A,N/A,32.50,349.92M
"ADMP",3.70,3.80,3.85,N/A,N/A,7.50,101.98M
"ADAP",5.32,5.30,5.30,N/A,N/A,13.14,497.40M
"ADUS",39.20,37.75,37.85,N/A,N/A,43.25,448.21M
"AEY",1.68,1.65,1.65,N/A,N/A,7.60,17.12M
"IOTS",5.05,5.10,5.15,N/A,N/A,7.33,79.98M
"ADMA",3.9911,3.5300,3.7000,N/A,N/A,12.1700,51.43M
"ADBE",141.89,142.85,142.93,N/A,N/A,145.07,70.19B
"ADTN",19.90,19.70,19.65,N/A,N/A,22.38,961.63M
"ADRO",10.05,10.20,10.20,N/A,N/A,14.50,702.63M
"AAAP",38.90,39.21,38.95,N/A,N/A,44.31,1.71B
"ADES",9.46,9.50,9.50,N/A,N/A,18.00,208.80M
"AEIS",77.46,76.79,76.44,N/A,N/A,74.20,3.08B
"AMD",11.00,10.98,10.85,N/A,N/A,12.66,10.40B
"ADXS",8.43,8.70,8.70,N/A,N/A,21.50,339.69M
"ADXSW",4.4779,4.6700,4.6691,N/A,N/A,N/A,N/A
"ADVM",2.70,2.65,2.65,N/A,N/A,6.25,115.75M
"MAUI",24.4088,24.4088,N/A,N/A,N/A,N/A,N/A
"AEGN",19.78,19.83,19.80,N/A,N/A,25.56,632.45M
"AGLE",4.50,4.43,4.44,N/A,N/A,18.75,60.53M
"AEHR",4.61,4.64,4.68,N/A,N/A,7.50,77.38M
"AMTX",1.61,1.50,1.46,N/A,N/A,2.00,31.71M
"AERI",55.90,54.25,56.00,N/A,N/A,67.75,1.88B
"AVAV",31.21,31.38,31.35,N/A,N/A,28.20,720.39M
"AEZS",1.18,0.96,0.97,N/A,N/A,2.50,16.91M
"AEMD",1.8737,1.8100,1.8100,N/A,N/A,26.0000,14.92M
"GNMX",1.18,1.20,1.18,N/A,N/A,6.70,43.79M
"AFMD",2.30,2.35,2.30,N/A,N/A,7.78,101.06M
"AGEN",3.45,3.50,3.49,N/A,N/A,7.95,341.96M
"AGRX",3.45,3.46,3.40,N/A,N/A,10.75,99.38M
"AGYS",9.48,9.50,9.47,N/A,N/A,11.00,214.34M
"AGIO",48.20,47.46,47.53,N/A,N/A,61.89,2.32B
"AGNC",20.53,20.48,20.53,N/A,N/A,19.89,6.80B
"AGNCB",26.3386,26.2399,26.2400,N/A,N/A,N/A,8.72B
"AGNCP",25.83,25.86,25.86,N/A,N/A,N/A,8.55B
"AGFS",7.03,7.01,6.99,N/A,N/A,6.00,353.47M
"AGFSW",0.89,0.89,0.84,N/A,N/A,N/A,N/A
"AIMT",17.15,18.26,18.20,N/A,N/A,36.80,863.37M
"AIRT",18.95,18.54,19.05,N/A,N/A,N/A,38.70M
"ATSG",23.83,23.85,23.71,N/A,N/A,22.00,1.42B
"AIRG",13.75,13.78,13.80,N/A,N/A,20.33,128.87M
"AMCN",1.79,1.91,1.89,N/A,N/A,6.90,111.87M
"AKAM",47.39,48.06,48.00,N/A,N/A,63.00,8.19B
