"WSBC",37.95,37.98,37.89,N/A,N/A,43.20,1.67B
"WTBA",21.75,21.85,21.75,N/A,N/A,23.00,352.07M
"WSTC",23.16,23.22,23.20,N/A,N/A,23.79,1.94B
"WMAR",9.91,9.83,9.85,N/A,N/A,10.75,249.40M
"WABC",53.09,53.17,53.06,N/A,N/A,51.33,1.40B
"WBB",20.11,20.11,N/A,N/A,N/A,N/A,75.23M
"WSTL",0.72,0.69,0.69,N/A,N/A,1.50,44.44M
"WDC",90.01,89.27,89.02,N/A,N/A,111.10,26.21B
"WNEB",10.15,10.30,10.30,N/A,N/A,11.44,300.41M
"WLB",6.72,6.86,6.88,N/A,N/A,15.50,125.42M
"WPRT",1.60,1.64,1.61,N/A,N/A,3.20,176.51M
"WEYS",27.29,27.19,27.27,N/A,N/A,26.00,283.90M
"WHLR",8.69,8.67,8.60,N/A,N/A,16.33,74.87M
"WHLRD",22.63,22.71,22.75,N/A,N/A,N/A,194.98M
"WHLRP",21.3627,21.5000,21.0600,N/A,N/A,N/A,184.06M
"WHLRW",0.03,0.03,0.03,N/A,N/A,N/A,N/A
"WHF",14.21,14.21,14.50,N/A,N/A,14.13,N/A
"WHFBL",25.80,25.80,N/A,N/A,N/A,N/A,30.96M
"WFM",35.12,35.32,35.29,N/A,N/A,34.09,11.22B
"WILN",1.41,1.41,1.42,N/A,N/A,2.53,167.19M
"WHLM",6.5875,6.8275,6.5300,N/A,N/A,0.2200,35.45M
"WVVI",8.05,8.03,8.01,N/A,N/A,N/A,40.26M
"WVVIP",5.50,5.50,N/A,N/A,N/A,N/A,27.51M
"WLDN",33.02,33.01,32.85,N/A,N/A,37.67,284.24M
"WLFC",25.99,25.78,25.84,N/A,N/A,32.00,168.00M
"WLTW",145.00,144.80,145.04,N/A,N/A,150.94,19.60B
"WIN",4.42,4.39,4.42,N/A,N/A,6.28,841.98M
"WING",28.89,29.72,28.90,N/A,N/A,34.45,837.15M
"WINA",122.50,124.35,124.00,N/A,N/A,N/A,510.70M
"WINS",26.75,27.40,26.05,N/A,N/A,N/A,536.10M
"WTFC",70.79,71.25,71.06,N/A,N/A,75.32,3.94B
"WTFCM",27.40,27.42,27.44,N/A,N/A,N/A,1.53B
"WTFCW",50.25,50.25,N/A,N/A,N/A,N/A,N/A
"AGZD",47.95,47.88,47.87,N/A,N/A,N/A,N/A
"AGND",43.119,43.710,43.119,N/A,N/A,N/A,N/A
"CXSE",64.71,64.80,65.51,N/A,N/A,N/A,N/A
"EMCG",23.5965,23.4800,23.5727,N/A,N/A,N/A,N/A
"EMCB",71.881,71.800,71.553,N/A,N/A,N/A,N/A
"DGRE",24.17,24.00,23.80,N/A,N/A,N/A,N/A
"DXGE",31.17,31.23,31.16,N/A,N/A,N/A,N/A
"HYZD",24.04,24.03,24.13,N/A,N/A,N/A,N/A
"WETF",9.46,9.52,9.48,N/A,N/A,10.11,1.27B
"DXJS",38.77,39.09,38.77,N/A,N/A,N/A,N/A
