"APA","Apache Corporation",N/A,N/A
"AIV","Apartment Investment and Manage",N/A,N/A
"AIV^A",N/A,N/A,N/A
"ARI","Apollo Commercial Real Estate F",N/A,N/A
"ARI^A",N/A,N/A,N/A
"ARI^C",N/A,N/A,N/A
"APO","Apollo Global Management, LLC C",N/A,N/A
"APO^A",N/A,N/A,N/A
"AIB","Apollo Investment Corporation 6",N/A,N/A
"AIY","Apollo Investment Corporation 6",N/A,N/A
"AFT","Apollo Senior Floating Rate Fun",N/A,N/A
"AIF","Apollo Tactical Income Fund Inc",N/A,N/A
"APLE","Apple Hospitality REIT, Inc.",N/A,N/A
"AIT","Applied Industrial Technologies",N/A,N/A
"ATR","AptarGroup, Inc.",N/A,N/A
"WTR","Aqua America, Inc.",N/A,N/A
"WAAS","AquaVenture Holdings Limited Or",N/A,N/A
"ARMK","Aramark",N/A,N/A
"ABR","Arbor Realty Trust",N/A,N/A
"ABR^A",N/A,N/A,N/A
"ABR^B",N/A,N/A,N/A
"ABR^C",N/A,N/A,N/A
"ABRN","Arbor Realty Trust 7.375% Senio",N/A,N/A
"ARC","ARC Document Solutions, Inc.",N/A,N/A
"ARCX","Arc Logistic Partners LP Common",N/A,N/A
"MT","Arcelor Mittal NY Registry Shar",N/A,N/A
"ARH^C",N/A,N/A,N/A
"ARCH","Arch Coal, Inc. Class A",N/A,N/A
"ADM","Archer-Daniels-Midland Company",N/A,N/A
"AROC","Archrock, Inc.",N/A,N/A
"ARNC","Arconic Inc.",N/A,N/A
"ARNC^B",N/A,N/A,N/A
"ARCO","Arcos Dorados Holdings Inc. Cla",N/A,N/A
"ARD","Ardagh Group S.A.",N/A,N/A
"ASC","Ardmore Shipping Corporation",N/A,N/A
"AFC","Allied Capital Corporation Alli",N/A,N/A
"ARU","Ares Capital Corporation 5.875%",N/A,N/A
"ACRE","Ares Commercial Real Estate Cor",N/A,N/A
"ARDC","Ares Dynamic Credit Allocation ",N/A,N/A
"ARES","Ares Management L.P. Common Uni",N/A,N/A
"ARES^A",N/A,N/A,N/A
"AGX","Argan, Inc.",N/A,N/A
"ANET","Arista Networks, Inc.",N/A,N/A
"AI","Arlington Asset Investment Corp",N/A,N/A
"AI^B",N/A,N/A,N/A
"AIC","Arlington Asset Investment Corp",N/A,N/A
"AIW","Arlington Asset Investment Corp",N/A,N/A
"AHH","Armada Hoffler Properties, Inc.",N/A,N/A
"ARR","ARMOUR Residential REIT, Inc.",N/A,N/A
"ARR^A",N/A,N/A,N/A
"ARR^B",N/A,N/A,N/A
"AFI","Armstrong Flooring, Inc.",N/A,N/A
"AWI","Armstrong World Industries Inc",N/A,N/A
"ARW","Arrow Electronics, Inc.",N/A,N/A
"AJG","Arthur J. Gallagher & Co.",N/A,N/A
"APAM","Artisan Partners Asset Manageme",N/A,N/A
"ASA","ASA  Gold and Precious Metals L",N/A,N/A
"ABG","Asbury Automotive Group Inc",N/A,N/A
"AHP","Ashford Hospitality Prime, Inc.",N/A,N/A
"AHP^B",N/A,N/A,N/A
"AHT","Ashford Hospitality Trust Inc",N/A,N/A
"AHT^A",N/A,N/A,N/A
"AHT^D",N/A,N/A,N/A
"AHT^F",N/A,N/A,N/A
"AHT^G",N/A,N/A,N/A
"ASH","Ashland Global Holdings Inc.",N/A,N/A
"APB","Asia Pacific Fund, Inc. (The)",N/A,N/A
"GRR","Asia Tigers Fund, Inc. (The)",N/A,N/A
"ASPN","Aspen Aerogels, Inc.",N/A,N/A
