"RUTH",21.35,"5/22/2017","4:00pm",+0.05,21.30,21.55,21.25,293563
"RXII",0.58,"5/22/2017","3:59pm",+0.01,0.57,0.59,0.56,84165
"RXIIW",0.20,"5/22/2017","11:28am",+0.00,0.20,0.20,0.19,27900
"RYAAY",100.77,"5/22/2017","4:00pm",+0.15,101.18,101.82,100.40,176299
"STBA",33.61,"5/22/2017","4:00pm",+0.16,33.47,33.75,33.27,42137
"SANW",4.05,"5/22/2017","3:59pm",-0.05,4.15,4.15,4.05,51369
"SCAC",9.99,"5/15/2017","10:39am",+0.00,N/A,N/A,N/A,0
"SCACU",10.66,"5/18/2017","3:16pm",+0.00,N/A,N/A,N/A,0
"SCACW",1.20,"5/22/2017","3:37pm",+0.01,1.19,1.20,1.19,5300
"SBRA",24.54,"5/22/2017","4:00pm",+0.46,24.15,24.68,24.01,1591790
"SBRAP",25.98,"5/22/2017","2:38pm",+0.03,N/A,25.98,25.90,26500
"SABR",22.96,"5/22/2017","4:00pm",+0.15,22.87,23.22,22.66,3756720
"SAEX",4.26,"5/22/2017","3:59pm",-0.10,4.40,4.40,4.25,17963
"SAFT",66.55,"5/22/2017","4:00pm",+0.10,66.50,67.40,66.20,46884
"SAGE",66.89,"5/22/2017","4:00pm",+1.35,65.65,67.00,63.23,352857
"SAIA",44.15,"5/22/2017","4:00pm",+0.50,43.60,44.15,43.00,77948
"SAJA",5.73,"5/22/2017","3:59pm",+0.00,5.70,5.75,5.70,59750
"SALM",6.95,"5/22/2017","4:00pm",-0.10,6.95,7.10,6.90,39071
"SAL",40.10,"5/22/2017","2:09pm",-0.40,N/A,40.10,40.10,100
"SAFM",116.55,"5/22/2017","4:00pm",+1.25,114.98,116.90,114.23,346945
"SASR",39.78,"5/22/2017","4:00pm",+0.23,39.77,39.82,39.32,169801
"SGMO",7.45,"5/22/2017","4:00pm",-0.35,7.75,7.75,7.40,912761
"SANM",36.80,"5/22/2017","4:00pm",+0.40,36.60,36.85,36.20,404398
"GCVRZ",0.41,"5/22/2017","3:38pm",+0.01,0.40,0.41,0.39,573984
"SPNS",12.59,"5/22/2017","4:00pm",-0.18,12.74,12.77,12.35,131670
"SRPT",32.68,"5/22/2017","4:00pm",-1.96,34.70,34.79,32.26,2856744
"SVRA",5.35,"5/22/2017","4:00pm",+0.05,5.35,5.44,5.19,41921
"SBFG",17.11,"5/22/2017","3:59pm",-0.09,17.25,17.39,17.11,1884
"SBFGP",16.00,"5/10/2017","10:58am",+0.00,N/A,N/A,N/A,0
"SBAC",133.83,"5/22/2017","4:00pm",+1.03,132.55,134.42,131.82,595322
"SCSC",37.60,"5/22/2017","4:00pm",+0.15,37.50,37.92,37.38,70321
"SMIT",1.68,"5/22/2017","3:58pm",+0.06,1.64,1.68,1.61,32640
"SCHN",19.35,"5/22/2017","4:00pm",+0.20,19.40,19.60,19.15,274581
"SCHL",42.31,"5/22/2017","4:00pm",+0.16,42.20,42.45,42.14,52301
"SCLN",9.40,"5/22/2017","4:00pm",-0.05,9.50,9.65,9.35,213821
"SGMS",24.00,"5/22/2017","4:00pm",+0.35,23.75,24.40,23.75,1279606
"SNI",68.23,"5/22/2017","4:00pm",+0.18,68.05,68.50,67.90,1032582
