"PER",3.00,3.00,3.05,N/A,N/A,5.00,157.50M
"SNY",49.00,49.03,48.98,N/A,N/A,51.75,123.75B
"SC",11.84,11.72,11.72,N/A,N/A,15.33,4.26B
"SOV^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SAP",106.30,106.81,105.78,N/A,N/A,106.51,127.45B
"SAB",26.20,26.14,26.45,N/A,N/A,N/A,N/A
"SAR",21.78,21.40,21.50,N/A,N/A,21.13,125.10M
"SSL",30.66,30.49,30.53,N/A,N/A,32.50,87.01M
"BFS",58.08,58.17,57.64,N/A,N/A,69.50,1.25B
"BFS^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SCG",67.86,67.85,67.96,N/A,N/A,71.50,9.70B
"SLB",70.09,69.39,69.50,N/A,N/A,91.03,97.39B
"SNDR",19.61,20.12,20.07,N/A,N/A,22.20,3.47B
"SWM",38.13,37.40,37.35,N/A,N/A,49.50,1.17B
"SAIC",77.17,76.50,76.94,N/A,N/A,85.38,3.36B
"SALT",6.15,6.15,6.10,N/A,N/A,9.89,441.17M
"SLTB",24.5499,24.5000,24.5499,N/A,N/A,N/A,63.83M
"SBBC",25.22,25.28,25.34,N/A,N/A,N/A,N/A
"SBNA",24.07,24.25,24.19,N/A,N/A,N/A,48.14M
"SBNB",25.3953,25.4000,25.3953,N/A,N/A,N/A,45.71M
"STNG",3.79,3.97,3.93,N/A,N/A,5.95,616.67M
"SMG",88.05,88.83,88.84,N/A,N/A,100.75,5.25B
"LBF",8.671,8.690,8.710,N/A,N/A,N/A,N/A
"KMM",8.87,8.83,8.84,N/A,N/A,N/A,N/A
"KTF",13.62,13.55,13.59,N/A,N/A,N/A,N/A
"KST",12.471,12.440,12.480,N/A,N/A,N/A,N/A
"KSM",12.64,12.62,12.64,N/A,N/A,N/A,N/A
"SA",10.35,10.35,10.70,N/A,N/A,17.50,563.66M
"CKH",62.45,62.72,62.59,N/A,N/A,67.33,1.10B
"SDRL",0.5225,0.5326,0.5200,N/A,N/A,2.0700,263.57M
"SDLP",3.19,3.37,3.30,N/A,N/A,8.00,292.91M
"SEE",44.55,44.22,44.20,N/A,N/A,47.57,8.72B
"SSW",5.73,5.63,5.65,N/A,N/A,8.20,627.33M
"SSW^D",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SSW^E",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SSW^G",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SSW^H",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SSWN",25.23,25.24,25.21,N/A,N/A,N/A,2.76B
"SEAS",18.08,18.21,18.17,N/A,N/A,20.00,1.54B
"JBN",15.5233,15.5400,15.5100,N/A,N/A,N/A,34.15M
"JBR",15.50,15.62,15.50,N/A,N/A,N/A,N/A
"WTTR",15.90,15.84,15.95,N/A,N/A,19.86,320.81M
"SEM",13.80,13.90,13.95,N/A,N/A,13.58,1.83B
"SGZA",25.30,25.23,25.21,N/A,N/A,N/A,1.47B
"SEMG",32.75,33.15,33.05,N/A,N/A,39.70,2.17B
"SMI",5.33,5.36,5.34,N/A,N/A,0.33,5.86B
"SRE",114.48,114.55,114.55,N/A,N/A,118.93,28.72B
"ST",40.50,41.06,41.02,N/A,N/A,46.68,6.93B
"SXT",80.62,80.39,80.39,N/A,N/A,87.00,3.57B
"SQNS",4.56,4.37,4.40,N/A,N/A,4.84,342.56M
"SRG",39.67,40.52,40.45,N/A,N/A,43.00,1.35B
"SCI",31.96,32.10,32.05,N/A,N/A,37.17,6.01B
"SERV",37.72,38.14,38.28,N/A,N/A,44.13,5.06B
"NOW",106.03,104.52,104.00,N/A,N/A,110.07,18.00B
"SHAK",37.56,37.86,37.78,N/A,N/A,38.45,967.43M
"SJR",21.23,21.31,21.30,N/A,N/A,22.00,10.43B
"SHLX",30.57,30.81,30.70,N/A,N/A,37.72,5.42B
"SHW",334.95,334.09,333.52,N/A,N/A,351.57,31.00B
"SHG",44.44,44.29,44.32,N/A,N/A,52.00,21.20B
"SFL",13.05,13.30,13.35,N/A,N/A,14.92,1.22B
"SHOP",90.74,90.22,90.26,N/A,N/A,90.58,8.30B
"SSTK",46.45,46.30,46.38,N/A,N/A,45.25,1.61B
"SBGL",5.52,5.68,5.61,N/A,N/A,10.04,1.28B
"SIG",49.31,50.30,50.15,N/A,N/A,79.73,3.37B
"SSNI",9.85,9.93,9.92,N/A,N/A,13.91,523.74M
"SBOW",29.90,28.06,28.50,N/A,N/A,N/A,343.19M
"SPG",157.26,160.70,160.74,N/A,N/A,199.90,49.10B
"SPG^J",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SSD",40.33,40.62,40.55,N/A,N/A,46.00,1.92B
"SHI",59.08,60.16,59.08,N/A,N/A,71.40,6.38B
