"CIO^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CVEO",2.27,"5/22/2017","4:02pm",-0.05,2.35,2.36,2.26,516007
"CIVI",16.20,"5/22/2017","4:02pm",+0.05,16.25,16.55,16.15,33444
"CLH",58.40,"5/22/2017","4:03pm",+1.03,57.52,58.46,57.37,183092
"CCO",3.80,"5/22/2017","4:02pm",+0.00,3.80,3.95,3.75,83591
"CBA",9.32,"5/22/2017","4:00pm",+0.01,9.39,9.42,9.28,135085
"CEM",16.12,"5/22/2017","4:00pm",+0.11,16.13,16.20,16.01,138564
"EMO",13.12,"5/22/2017","4:02pm",-0.05,13.21,13.26,12.98,112023
"CTR",13.17,"5/22/2017","4:00pm",+0.08,13.20,13.21,13.06,63772
"CLW",45.85,"5/22/2017","4:02pm",+0.35,45.50,45.90,45.50,169300
"CLF",6.48,"5/22/2017","4:00pm",-0.01,6.57,6.70,6.39,13560839
"CLPR",10.91,"5/22/2017","4:02pm",+0.44,10.47,10.95,10.47,15041
"CLX",132.57,"5/22/2017","4:02pm",+0.41,132.14,132.96,132.03,563127
"CLD",3.53,"5/22/2017","4:03pm",+0.04,3.45,3.60,3.45,671759
"CLDR",20.91,"5/22/2017","4:04pm",+0.90,20.02,21.15,19.82,726306
"MYCC",13.05,"5/22/2017","4:02pm",+0.10,13.05,13.25,13.00,315910
"CMS",46.47,"5/22/2017","4:00pm",+0.42,45.87,46.52,45.87,2185848
"CMS^B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CNA",44.51,"5/22/2017","4:02pm",+0.42,44.20,44.66,43.99,104695
"CNHI",11.09,"5/22/2017","4:02pm",-0.09,11.20,11.20,11.07,890176
"CNO",20.32,"5/22/2017","4:01pm",+0.04,20.34,20.47,20.22,1054319
"CEO",117.79,"5/22/2017","4:04pm",-0.58,118.11,118.42,117.65,73489
"CNXC",16.25,"5/22/2017","4:02pm",+0.25,16.20,16.40,16.00,43359
"COH",45.74,"5/22/2017","4:03pm",+0.42,45.36,46.13,45.20,3102486
"CIE",0.29,"5/22/2017","4:02pm",+0.01,0.29,0.31,0.28,9175928
"KOF",77.40,"5/22/2017","4:02pm",+0.00,77.83,78.70,77.12,121560
"KO",44.18,"5/22/2017","4:02pm",+0.28,43.89,44.22,43.81,12857913
"CCE",40.67,"5/22/2017","4:01pm",+0.32,40.70,40.79,40.51,1445844
"CDE",9.61,"5/22/2017","4:01pm",+0.17,9.59,9.78,9.53,2590084
"FOF",13.10,"5/22/2017","4:02pm",+0.10,13.06,13.11,13.00,40922
"INB",9.40,"5/22/2017","4:02pm",+0.04,9.44,9.44,9.38,22406
"CNS",39.01,"5/22/2017","4:02pm",-0.11,39.33,39.49,38.76,79859
"UTF",22.62,"5/22/2017","4:02pm",+0.01,22.69,22.80,22.49,127609
"LDP",26.22,"5/22/2017","4:02pm",-0.02,26.48,26.48,26.19,35504
"MIE",11.36,"5/22/2017","4:01pm",+0.05,11.37,11.40,11.24,48854
"RQI",12.41,"5/22/2017","4:02pm",+0.14,12.30,12.44,12.30,240388
"RNP",19.93,"5/22/2017","4:02pm",+0.07,19.94,20.06,19.91,95720
"PSF",27.86,"5/22/2017","4:01pm",+0.22,27.79,27.88,27.71,33203
"RFI",12.61,"5/22/2017","4:02pm",+0.03,12.60,12.64,12.45,82119
"CFX",40.21,"5/22/2017","4:00pm",-0.03,40.62,40.86,40.05,968293
"CL",74.28,"5/22/2017","4:03pm",-0.54,75.00,75.23,74.18,4182720
"CXE",5.12,"5/22/2017","4:02pm",+0.01,5.14,5.15,5.11,22183
"CIF",2.69,"5/22/2017","4:02pm",+0.01,2.71,2.71,2.68,97061
"CXH",10.04,"5/22/2017","4:03pm",+0.04,10.00,10.04,9.99,10381
"CMU",4.65,"5/22/2017","4:02pm",+0.01,4.64,4.66,4.63,13427
"CLNS",13.72,"5/22/2017","4:05pm",+0.26,13.49,13.75,13.47,2937758
"CLNS^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CLNS^B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CLNS^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CLNS^D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CLNS^E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CLNS^F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CLNS^G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CLNS^H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SFR",34.41,"5/22/2017","4:02pm",+0.47,33.94,34.44,33.78,784474
"CXP",21.97,"5/22/2017","4:02pm",+0.07,21.91,22.08,21.87,305503
"STK",22.47,"5/22/2017","4:02pm",+0.03,22.45,22.50,22.38,63479
"CCV",26.0099,"5/22/2017","4:02pm",+0.1149,25.9100,26.0700,25.9100,9068
"CCZ",50.10,"4/19/2017","9:30am",+0.00,N/A,N/A,N/A,0
"CMA",68.64,"5/22/2017","4:02pm",+0.28,68.64,69.17,68.07,1561054
"CMA.WS",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"FIX",34.80,"5/22/2017","4:02pm",+0.00,34.80,35.00,34.60,122474
"CMC",18.44,"5/22/2017","4:02pm",+0.16,18.51,18.62,18.28,2280650
"CBU",54.56,"5/22/2017","4:02pm",+0.68,53.93,54.69,53.61,215576
"CYH",9.67,"5/22/2017","4:02pm",-0.17,9.83,9.96,9.63,2165067
"CHCT",25.25,"5/22/2017","4:02pm",+0.68,24.60,25.29,24.60,72282
"CIG",2.13,"5/22/2017","4:02pm",-0.10,2.18,2.21,2.09,8499727
"CIG.C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CBD",20.10,"5/22/2017","4:02pm",-0.82,20.37,20.63,19.81,836385
"SBS",8.39,"5/22/2017","4:02pm",-0.46,8.62,8.71,8.29,2793689
"ELP",8.05,"5/22/2017","4:02pm",-0.41,8.21,8.35,7.95,958490
"CCU",25.95,"5/22/2017","4:02pm",+0.16,25.85,26.31,25.81,334430
"CODI",16.35,"5/22/2017","4:02pm",+0.10,16.35,16.45,16.30,93598
"CMP",67.55,"5/22/2017","4:02pm",-0.15,67.80,68.55,67.40,493998
"CRK",8.08,"5/22/2017","4:02pm",-0.06,8.26,8.27,8.04,140813
"CAG",38.06,"5/22/2017","4:03pm",+0.34,37.70,38.14,37.65,2596551
"CXO",131.81,"5/22/2017","4:05pm",-0.90,133.82,133.82,131.57,863403
"CCM",4.13,"5/22/2017","4:02pm",-0.03,4.12,4.18,4.07,3637
"CNDT",16.78,"5/22/2017","4:00pm",+0.13,16.66,16.81,16.45,1822822
"CNNX",21.64,"5/22/2017","4:02pm",+0.03,22.18,22.35,21.36,238911
"COP",46.93,"5/22/2017","4:01pm",-0.55,47.83,47.90,46.87,7967925
"CNX",16.04,"5/22/2017","4:03pm",-0.04,16.28,16.38,15.83,2550216
"ED",80.95,"5/22/2017","4:01pm",+0.58,80.10,81.17,80.10,1366259
"STZ",184.14,"5/22/2017","4:02pm",+1.20,183.00,184.73,182.79,1213024
"STZ.B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CSTM",6.40,"5/22/2017","4:03pm",+0.10,6.30,6.75,6.20,736605
"TCS",4.19,"5/22/2017","4:02pm",+0.18,4.04,4.23,3.97,194618
"CBPX",24.10,"5/22/2017","4:02pm",+0.15,24.10,24.35,23.90,335693
"CLR",42.17,"5/22/2017","4:02pm",-0.46,43.02,43.02,41.80,2421935
"VLRS",13.58,"5/22/2017","4:02pm",+0.12,13.63,13.70,13.43,370876
"CVG",24.16,"5/22/2017","4:03pm",+0.16,24.02,24.20,24.00,634276
"COO",217.34,"5/22/2017","4:00pm",+4.72,212.09,217.44,211.67,526138
"CTB",36.00,"5/22/2017","4:02pm",+0.00,36.05,36.35,35.92,512218
"CPS",107.59,"5/22/2017","4:02pm",+0.40,107.10,108.14,107.01,56988
"CPA",109.60,"5/22/2017","4:02pm",+1.23,108.93,110.40,107.98,559209
"CLB",107.61,"5/22/2017","4:01pm",-1.06,108.99,109.82,107.15,318382
"CXW",30.41,"5/22/2017","4:02pm",-0.93,31.38,31.51,30.32,993233
"CLGX",42.48,"5/22/2017","4:02pm",+0.44,41.97,42.71,41.69,418560
"CORR",36.62,"5/22/2017","4:02pm",+0.44,36.20,36.81,36.00,98379
"CORR^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
