"GJP",21.9835,21.9835,22.0824,N/A,N/A,N/A,8.38M
"GJR",20.85,20.85,20.90,N/A,N/A,N/A,27.52M
"GJT",19.2001,19.6654,19.2001,N/A,N/A,N/A,26.88M
"GJV",25.525,25.325,25.360,N/A,N/A,N/A,33.69M
"SYY",54.43,54.28,54.27,N/A,N/A,56.13,29.13B
"SYX",16.11,16.08,16.09,N/A,N/A,20.00,595.33M
"DATA",63.56,64.15,63.86,N/A,N/A,61.33,4.96B
"TAHO",9.19,9.17,9.30,N/A,N/A,11.81,2.87B
"TLRD",10.31,10.20,10.22,N/A,N/A,20.50,502.95M
"TWN",19.41,19.40,19.41,N/A,N/A,N/A,N/A
"TSM",35.51,35.57,35.55,N/A,N/A,31.87,184.16B
"TAL",119.27,118.41,118.15,N/A,N/A,134.14,9.75B
"TEGP",27.01,26.79,26.77,N/A,N/A,29.94,1.57B
"TEP",50.75,50.89,50.96,N/A,N/A,59.59,3.68B
"SKT",26.14,26.38,26.39,N/A,N/A,32.32,2.49B
"NGLS^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TRGP",47.34,48.47,47.67,N/A,N/A,60.57,9.38B
"TGT",54.40,54.20,54.35,N/A,N/A,58.61,30.01B
"TARO",103.88,104.86,104.75,N/A,N/A,100.00,4.21B
"TTM",37.07,36.56,37.00,N/A,N/A,47.00,25.18B
"TCO",62.33,63.38,63.38,N/A,N/A,72.92,3.78B
"TCO^J",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TCO^K",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TMHC",23.65,23.68,23.71,N/A,N/A,22.93,1.23B
"TCP",57.50,57.85,57.89,N/A,N/A,62.30,3.96B
"TCF",15.50,15.57,15.55,N/A,N/A,18.19,2.60B
"TCF.WS",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TCF^B",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TCF^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TSI",5.52,5.51,5.52,N/A,N/A,N/A,N/A
"TEL",78.01,78.17,77.93,N/A,N/A,84.50,27.70B
"TISI",25.75,25.80,25.80,N/A,N/A,34.25,767.71M
"FTI",29.07,29.38,28.75,N/A,N/A,35.91,13.56B
"TECK",18.71,18.56,18.50,N/A,N/A,27.19,10.81B
"TK",6.50,6.20,6.20,N/A,N/A,8.63,560.19M
"TGP",16.45,16.45,16.55,N/A,N/A,19.60,1.31B
"TGP^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TOO",3.44,3.34,3.33,N/A,N/A,6.33,515.03M
"TOO^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TOO^B",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TNK",1.93,1.96,1.96,N/A,N/A,2.44,317.20M
"GCI",7.82,7.45,7.46,N/A,N/A,11.50,888.63M
"TGNA",24.07,23.71,23.76,N/A,N/A,25.38,5.17B
"TRC",20.58,20.29,20.34,N/A,N/A,65.00,429.18M
"HQH",25.15,25.20,25.20,N/A,N/A,N/A,N/A
"THQ",17.2734,17.3700,17.3500,N/A,N/A,N/A,N/A
"HQL",20.98,20.90,21.00,N/A,N/A,N/A,N/A
"THW",14.46,14.54,14.51,N/A,N/A,N/A,N/A
"TDOC",30.30,30.50,30.50,N/A,N/A,30.36,1.65B
"TEO",25.07,24.49,24.62,N/A,N/A,23.56,4.86B
"TI",9.67,9.77,9.61,N/A,N/A,17.11,20.37B
"TI.A",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TDY",131.35,131.03,130.64,N/A,N/A,140.00,4.63B
"TFX",201.21,201.33,201.05,N/A,N/A,222.33,9.05B
"VIV",14.11,13.91,14.09,N/A,N/A,15.64,23.83B
"TEF",11.26,11.30,11.22,N/A,N/A,12.39,57.00B
"TDA",25.00,25.01,25.10,N/A,N/A,N/A,N/A
"TDE",25.58,25.53,25.50,N/A,N/A,N/A,230.22M
"TDI",25.67,25.74,25.68,N/A,N/A,N/A,N/A
"TDJ",25.70,25.65,25.67,N/A,N/A,N/A,308.40M
"TDS",27.86,28.09,28.06,N/A,N/A,34.00,3.07B
"TU",34.14,34.12,34.20,N/A,N/A,34.42,20.18B
"TDF",19.46,19.41,19.45,N/A,N/A,N/A,N/A
"EMF",15.11,15.04,15.15,N/A,N/A,N/A,N/A
"TEI",11.42,11.43,11.43,N/A,N/A,N/A,N/A
"GIM",6.59,6.59,6.57,N/A,N/A,N/A,N/A
"TPX",45.96,46.06,45.97,N/A,N/A,50.67,2.48B
"TS",31.13,31.03,31.13,N/A,N/A,34.98,18.38B
"THC",17.45,17.59,17.40,N/A,N/A,23.07,1.75B
"TNC",70.70,70.54,70.54,N/A,N/A,64.00,1.26B
"TEN",56.82,55.77,55.75,N/A,N/A,69.00,3.07B
"TVC",25.16,25.12,25.14,N/A,N/A,N/A,N/A
"TVE",24.9201,24.9622,24.9600,N/A,N/A,3.4200,N/A
"TDC",28.60,28.85,28.78,N/A,N/A,29.20,3.70B
"TER",35.59,35.34,35.48,N/A,N/A,37.87,7.08B
"TEX",32.91,32.81,32.79,N/A,N/A,35.87,3.21B
"TX",26.38,25.84,25.88,N/A,N/A,30.18,5.18B
"TNH",81.46,81.00,80.88,N/A,N/A,N/A,1.52B
"TRNO",32.69,32.68,32.66,N/A,N/A,32.38,1.61B
"TRNO^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TSO",83.46,84.20,84.00,N/A,N/A,103.47,9.77B
"TLLP",53.76,53.87,53.69,N/A,N/A,60.97,5.81B
"TTI",3.29,3.26,3.26,N/A,N/A,5.95,381.48M
"TEVA",28.50,28.71,28.70,N/A,N/A,36.86,28.96B
"TPL",289.38,288.45,288.60,N/A,N/A,0.34,2.29B
"TGH",11.35,11.25,11.25,N/A,N/A,17.00,644.61M
"TXT",48.16,48.17,48.07,N/A,N/A,52.54,12.89B
"TTF",8.80,8.71,8.76,N/A,N/A,N/A,N/A
"AES",11.79,11.78,11.76,N/A,N/A,12.63,7.78B
"AES^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BX",32.58,32.47,32.47,N/A,N/A,36.38,21.07B
"SCHW",39.52,39.41,39.30,N/A,N/A,45.67,52.84B
"SCHW^B",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SCHW^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SCHW^D",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SRV",13.27,13.26,13.27,N/A,N/A,11.00,N/A
