"ACP",14.15,"5/22/2017","4:02pm",+0.11,14.12,14.18,14.08,77664
"AVY",83.19,"5/22/2017","4:02pm",+0.43,82.75,83.31,82.50,288912
"AVH",7.13,"5/22/2017","4:02pm",-0.09,7.20,7.28,7.11,90158
"AVA",42.23,"5/22/2017","4:00pm",+0.49,41.76,42.29,41.64,213597
"AVT",36.98,"5/22/2017","4:02pm",-0.11,37.18,37.38,36.88,1260986
"AVP",3.39,"5/22/2017","4:00pm",+0.02,3.39,3.44,3.37,5353166
"AVX",16.29,"5/22/2017","4:02pm",+0.00,16.31,16.41,16.20,105921
"AXTA",31.41,"5/22/2017","4:01pm",+0.11,31.44,31.47,31.24,1447212
"AXS",63.12,"5/22/2017","4:02pm",-0.24,63.46,63.74,63.00,550358
"AXS^D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AXS^E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AXON",22.67,"5/22/2017","4:02pm",+0.91,21.74,22.77,21.64,389464
"AZUL",20.32,"5/22/2017","4:02pm",-1.07,20.95,21.07,19.85,948252
"AZRE",15.74,"5/22/2017","4:01pm",-1.26,16.85,16.95,15.41,17811
"AZZ",54.60,"5/22/2017","4:02pm",+0.30,54.55,55.55,54.35,57473
"BGS",40.35,"5/22/2017","4:02pm",+0.60,39.90,40.50,39.70,336632
"BW",10.67,"5/22/2017","4:02pm",+0.15,10.56,11.38,10.32,1203380
"BGH",20.02,"5/22/2017","4:02pm",+0.00,20.16,20.16,19.97,55891
"BMI",38.55,"5/22/2017","4:02pm",+0.10,38.50,38.90,38.30,72295
"BHI",58.00,"5/22/2017","4:02pm",-0.22,58.57,58.60,57.41,1868563
"BBN",22.71,"5/22/2017","4:02pm",-0.20,22.87,22.96,22.71,105809
"BLL",40.18,"5/22/2017","4:00pm",+0.14,40.04,40.39,39.92,1353379
"BGE^B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BANC",20.40,"5/22/2017","4:02pm",+0.20,20.25,20.45,20.15,510388
"BANC^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BANC^D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BANC^E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BBVA",8.24,"5/22/2017","4:02pm",-0.07,8.27,8.31,8.22,1813871
"BBD",8.19,"5/22/2017","4:00pm",-0.35,8.36,8.40,8.02,22852390
"BBDO",8.07,"5/22/2017","4:45pm",-0.18,8.56,8.56,7.74,3150
"BCH",75.98,"5/22/2017","4:02pm",+0.56,75.47,76.51,74.85,85876
"BLX",27.24,"5/22/2017","4:00pm",+0.13,27.21,27.27,26.91,113787
"BSBR",7.53,"5/22/2017","4:02pm",-0.19,7.69,7.70,7.28,3183867
"BSAC",24.05,"5/22/2017","4:02pm",-0.11,24.10,24.19,23.96,283963
"SAN",6.45,"5/22/2017","4:02pm",-0.12,6.49,6.52,6.42,5498870
"SAN^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SAN^B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SAN^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SAN^I",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CIB",44.30,"5/22/2017","4:02pm",-0.47,44.96,44.96,44.26,508835
"BXS",29.35,"5/22/2017","4:02pm",+0.25,29.25,29.40,28.90,346272
"BAC",23.04,"5/22/2017","4:01pm",-0.01,23.19,23.24,22.82,74829598
"BAC.WS.A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BAC.WS.B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BAC^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BAC^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BAC^D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BAC^E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BAC^I",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BAC^L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BAC^W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BAC^Y",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BML^G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
