"ZIOP",6.29,6.57,6.50,N/A,N/A,14.75,822.11M
"ZIXI",5.91,5.91,5.90,N/A,N/A,6.17,314.75M
"ZGNX",12.65,12.90,12.85,N/A,N/A,21.75,313.88M
"ZSAN",1.49,1.33,1.41,N/A,N/A,3.63,58.41M
"ZUMZ",14.70,14.55,14.55,N/A,N/A,18.10,366.66M
"ZYNE",19.00,18.91,18.94,N/A,N/A,32.71,251.73M
"ZNGA",3.49,3.49,3.48,N/A,N/A,3.41,3.00B
"DDD",22.03,22.57,22.48,N/A,N/A,15.85,2.51B
"MMM",200.67,199.54,199.14,N/A,N/A,195.14,119.85B
"WBAI",9.62,8.76,9.00,N/A,N/A,13.80,392.87M
"WUBA",45.30,45.90,46.27,N/A,N/A,40.45,6.58B
"AHC",5.50,5.45,5.87,N/A,N/A,3.00,119.52M
"ATEN",8.41,8.17,8.18,N/A,N/A,9.92,496.44M
"AAC",6.75,6.59,6.53,N/A,N/A,9.00,162.48M
"AIR",34.61,34.29,34.30,N/A,N/A,37.75,1.17B
"AAN",35.93,35.55,35.64,N/A,N/A,37.13,2.54B
"ABB",25.00,25.07,24.88,N/A,N/A,23.33,53.59B
"ABT",44.71,43.95,43.92,N/A,N/A,48.08,77.58B
"ABBV",66.06,66.32,66.14,N/A,N/A,72.28,105.14B
"ANF",13.22,14.05,13.98,N/A,N/A,12.18,899.91M
"GCH",10.86,10.90,10.86,N/A,N/A,N/A,N/A
"JEQ",8.41,8.45,8.44,N/A,N/A,N/A,N/A
"SGF",11.03,11.15,11.14,N/A,N/A,N/A,N/A
"ABM",42.19,42.30,42.30,N/A,N/A,46.00,2.35B
"AKR",27.53,27.88,27.90,N/A,N/A,34.83,2.33B
"ACN",122.89,123.10,122.94,N/A,N/A,130.68,76.20B
"ACCO",11.25,11.25,11.20,N/A,N/A,16.25,1.23B
"ATV",12.5036,12.5000,12.6200,N/A,N/A,4.0000,N/A
"ATU",25.60,25.55,25.50,N/A,N/A,0.56,1.53B
"AYI",164.87,166.31,165.60,N/A,N/A,200.67,7.22B
"GOLF",18.94,18.66,18.59,N/A,N/A,7.50,1.41B
"ADX",14.23,14.21,14.24,N/A,N/A,N/A,1.41B
"PEO",19.01,19.02,18.99,N/A,N/A,3.81,542.83M
"AGRO",11.39,11.28,11.30,N/A,N/A,15.46,1.38B
"ADNT",66.64,66.05,65.83,N/A,N/A,78.42,6.24B
"AAP",134.16,131.97,131.84,N/A,N/A,158.19,9.90B
"ADSW",22.96,23.07,23.09,N/A,N/A,26.25,2.03B
"WMS",20.65,21.00,21.00,N/A,N/A,24.29,1.14B
"ASX",6.32,6.33,6.33,N/A,N/A,6.90,10.13B
"APFH",40.31,40.25,40.24,N/A,N/A,35.56,3.15B
"ASIX",29.42,30.12,29.86,N/A,N/A,36.00,896.78M
"AAV",6.40,6.40,6.35,N/A,N/A,8.18,1.19B
"AVK",16.21,16.24,16.21,N/A,N/A,0.55,N/A
"AGC",6.33,6.28,6.29,N/A,N/A,3.75,N/A
"LCM",8.75,8.75,8.74,N/A,N/A,N/A,N/A
"ACM",32.18,32.34,32.11,N/A,N/A,41.75,5.01B
"ANW",5.10,5.80,5.75,N/A,N/A,10.00,201.16M
"AEB",25.28,25.24,25.40,N/A,N/A,N/A,N/A
"AED",26.39,26.30,26.35,N/A,N/A,N/A,N/A
"AEG",4.91,4.95,4.92,N/A,N/A,5.06,10.02B
"AEH",26.23,26.24,26.18,N/A,N/A,N/A,N/A
"AEK",25.99,25.89,25.86,N/A,N/A,N/A,53.02B
"AER",44.80,44.95,44.98,N/A,N/A,58.07,7.45B
"HIVE",4.78,4.91,4.94,N/A,N/A,6.18,208.44M
"AJRD",21.69,21.84,21.81,N/A,N/A,27.00,1.62B
"AET",145.57,145.23,145.61,N/A,N/A,149.31,48.29B
"AMG",153.92,154.00,153.60,N/A,N/A,190.25,8.71B
"MGR",25.3343,25.3300,25.3400,N/A,N/A,N/A,1.43B
"AFL",74.84,74.71,74.60,N/A,N/A,75.46,29.70B
"AFSD",25.60,25.62,25.62,N/A,N/A,N/A,10.16B
"MITT",18.67,18.68,18.70,N/A,N/A,18.17,517.25M
"MITT^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A
