"DHXM",4.60,4.55,4.55,N/A,N/A,N/A,616.38M
"DHIL",195.40,196.40,196.71,N/A,N/A,N/A,633.29M
"FANG",102.25,103.12,103.59,N/A,N/A,130.36,10.03B
"DCIX",0.4099,0.4700,0.4800,N/A,N/A,8.0000,3.84M
"DRNA",3.28,3.27,3.28,N/A,N/A,5.70,68.20M
"DFBG",1.90,2.10,2.05,N/A,N/A,4.00,25.26M
"DFFN",2.85,2.88,2.86,N/A,N/A,89.30,29.48M
"DGII",9.70,9.30,9.30,N/A,N/A,14.40,257.41M
"DGLT",3.4809,3.5600,3.2600,N/A,N/A,6.5000,7.35M
"DMRC",30.35,30.25,30.25,N/A,N/A,43.17,309.08M
"DRAD",3.85,3.75,3.80,N/A,N/A,6.70,76.91M
"DGLY",3.70,3.85,3.75,N/A,N/A,10.00,21.01M
"APPS",1.17,1.20,1.19,N/A,N/A,1.33,77.96M
"DCOM",19.95,19.75,19.80,N/A,N/A,21.70,750.78M
"DMTX",1.20,1.20,1.20,N/A,N/A,6.29,30.05M
"DIOD",25.77,25.83,25.98,N/A,N/A,26.67,1.25B
"DISCA",26.21,25.87,25.81,N/A,N/A,28.27,11.61B
"DISCB",26.723,26.723,N/A,N/A,N/A,32.000,11.84B
"DISCK",25.46,25.18,25.07,N/A,N/A,28.50,11.28B
"DISH",63.80,63.53,63.48,N/A,N/A,74.74,29.72B
"DVCR",11.19,11.19,N/A,N/A,N/A,6.00,72.27M
"SAUC",3.23,3.93,3.99,N/A,N/A,3.25,86.14M
"DLHC",5.10,4.93,4.93,N/A,N/A,7.25,57.38M
"BOOM",13.85,13.45,13.45,N/A,N/A,15.75,203.93M
"DNBF",31.50,31.50,32.00,N/A,N/A,37.00,133.78M
"DLTR",80.92,79.68,79.62,N/A,N/A,89.43,19.12B
"DGICA",15.48,15.57,15.58,N/A,N/A,19.00,422.45M
"DGICB",15.702,15.702,N/A,N/A,N/A,N/A,428.51M
"DMLP",16.75,16.60,16.85,N/A,N/A,N/A,513.81M
"DORM",82.48,82.00,82.16,N/A,N/A,79.83,2.83B
"EAGL",10.00,10.02,10.00,N/A,N/A,N/A,147.97M
"EAGLU",10.45,10.45,N/A,N/A,N/A,N/A,N/A
"EAGLW",0.40,0.40,0.40,N/A,N/A,N/A,N/A
"DRWI",1.02,1.03,1.05,N/A,N/A,10.25,6.23M
"DRYS",3.42,4.00,3.83,N/A,N/A,117600.00,34.08M
"DSPG",12.30,12.30,12.30,N/A,N/A,14.33,272.68M
"DLTH",21.19,20.22,20.38,N/A,N/A,28.80,687.42M
"DNKN",55.64,55.69,55.85,N/A,N/A,55.80,5.13B
"DRRX",1.24,1.23,1.22,N/A,N/A,2.42,176.04M
