"EQT",56.51,"5/22/2017","4:01pm",+0.09,56.74,56.98,56.40,1259670
"EQGP",27.00,"5/22/2017","4:02pm",+0.63,26.43,27.06,26.00,72789
"EQM",74.10,"5/22/2017","4:02pm",+0.05,74.44,74.44,73.28,324605
"EFX",137.30,"5/22/2017","4:02pm",+0.93,137.19,137.76,136.29,515555
"EQC",30.98,"5/22/2017","4:04pm",-0.02,31.05,31.12,30.96,618534
"EQC^D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"EQCO",25.11,"5/22/2017","4:02pm",+0.00,25.12,25.15,25.11,3711
"ELS",84.18,"5/22/2017","4:01pm",+0.64,83.72,84.32,83.20,289505
"ELS^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"EQR",65.36,"5/22/2017","4:03pm",-0.19,65.50,65.98,65.32,1435802
"EQS",2.79,"5/22/2017","4:02pm",-0.04,2.85,2.87,2.70,5076
"ERA",9.81,"5/22/2017","4:02pm",-0.32,10.18,10.29,9.80,129095
"EROS",11.85,"5/22/2017","4:02pm",+0.95,10.95,11.90,10.95,619230
"ESE",56.40,"5/22/2017","4:02pm",+0.65,55.80,56.45,55.70,51785
"ESNT",36.00,"5/22/2017","4:01pm",+0.17,35.80,36.03,35.46,456772
"ESS",254.59,"5/22/2017","4:01pm",+0.04,254.65,257.37,253.32,373462
"EL",92.95,"5/22/2017","4:00pm",+0.58,92.11,93.30,92.11,1199625
"ESL",93.45,"5/22/2017","4:02pm",+0.35,93.65,94.00,93.10,149377
"ETH",27.30,"5/22/2017","4:02pm",-0.35,27.85,27.95,27.20,412783
"EURN",7.70,"5/22/2017","4:02pm",-0.05,7.90,7.90,7.70,944545
"EEA",9.14,"5/22/2017","4:02pm",+0.04,9.18,9.18,9.13,4804
"EVER",19.44,"5/22/2017","4:01pm",+0.03,19.41,19.46,19.41,521399
"EVER^A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"EVR",70.90,"5/22/2017","4:02pm",+0.60,70.80,71.20,70.45,413213
"RE",243.97,"5/22/2017","4:02pm",+0.03,243.25,244.90,242.67,369650
"EVRI",6.80,"5/22/2017","4:02pm",-0.08,6.85,6.91,6.63,505548
"ES",60.74,"5/22/2017","4:02pm",+0.63,60.10,60.84,59.95,1060024
"EVTC",16.65,"5/22/2017","4:02pm",+0.05,16.60,16.70,16.50,146523
"EVH",23.35,"5/22/2017","4:02pm",-0.20,23.60,23.63,23.25,907020
"XCO",0.3662,"5/22/2017","4:02pm",-0.0035,0.3700,0.4000,0.3508,1492759
"EXC",35.53,"5/22/2017","4:00pm",+0.47,34.91,35.64,34.91,5684386
"EXCU",51.55,"5/22/2017","4:02pm",+0.61,50.76,51.66,50.76,210270
"EXPR",7.93,"5/22/2017","4:03pm",+0.33,7.61,7.98,7.59,2262704
"STAY",17.94,"5/22/2017","4:02pm",+0.13,17.92,18.01,17.81,1133608
"EXTN",30.07,"5/22/2017","4:02pm",+0.80,29.52,30.20,29.30,403348
